Date,X
01-Jan-1967,11
01-Feb-1967,68
01-Mar-1967,143
01-Apr-1967,228
01-May-1967,345
01-Jun-1967,437
01-Jul-1967,473
01-Aug-1967,348
01-Sep-1967,188
01-Oct-1967,112
01-Nov-1967,49
01-Dec-1967,6
01-Jan-1968,9
01-Feb-1968,55
01-Mar-1968,125
01-Apr-1968,219
01-May-1968,346
01-Jun-1968,432
01-Jul-1968,457
01-Aug-1968,325
01-Sep-1968,194
01-Oct-1968,121
01-Nov-1968,67
01-Dec-1968,9
01-Jan-1969,13
01-Feb-1969,71
01-Mar-1969,112
01-Apr-1969,166
01-May-1969,330
01-Jun-1969,433
01-Jul-1969,478
01-Aug-1969,360
01-Sep-1969,191
01-Oct-1969,105
01-Nov-1969,58
01-Dec-1969,8
01-Jan-1970,12
01-Feb-1970,72
01-Mar-1970,157
01-Apr-1970,241
01-May-1970,368
01-Jun-1970,437
01-Jul-1970,448
01-Aug-1970,335
01-Sep-1970,201
01-Oct-1970,126
01-Nov-1970,67
01-Dec-1970,9
01-Jan-1971,13
01-Feb-1971,76
01-Mar-1971,157
01-Apr-1971,234
01-May-1971,350
01-Jun-1971,436
01-Jul-1971,464
01-Aug-1971,345
01-Sep-1971,216
01-Oct-1971,133
01-Nov-1971,65
01-Dec-1971,9
01-Jan-1972,13
01-Feb-1972,77
01-Mar-1972,151
01-Apr-1972,247
01-May-1972,353
01-Jun-1972,436
01-Jul-1972,447
01-Aug-1972,328
01-Sep-1972,190
01-Oct-1972,117
01-Nov-1972,64
01-Dec-1972,9
01-Jan-1973,13
01-Feb-1973,76
01-Mar-1973,140
01-Apr-1973,206
01-May-1973,357
01-Jun-1973,435
01-Jul-1973,459
01-Aug-1973,363
01-Sep-1973,225
01-Oct-1973,135
01-Nov-1973,61
01-Dec-1973,8
01-Jan-1974,12
01-Feb-1974,70
01-Mar-1974,144
01-Apr-1974,213
01-May-1974,346
01-Jun-1974,434
01-Jul-1974,448
01-Aug-1974,338
01-Sep-1974,190
01-Oct-1974,112
01-Nov-1974,63
01-Dec-1974,9
01-Jan-1975,13
01-Feb-1975,77
01-Mar-1975,160
01-Apr-1975,225
01-May-1975,275
01-Jun-1975,403
01-Jul-1975,485
01-Aug-1975,388
01-Sep-1975,246
01-Oct-1975,139
01-Nov-1975,64
01-Dec-1975,8
01-Jan-1976,11
01-Feb-1976,68
01-Mar-1976,140
01-Apr-1976,233
01-May-1976,352
01-Jun-1976,408
01-Jul-1976,402
01-Aug-1976,279
01-Sep-1976,144
01-Oct-1976,80
01-Nov-1976,50
01-Dec-1976,7
01-Jan-1977,11
01-Feb-1977,66
01-Mar-1977,141
01-Apr-1977,221
01-May-1977,320
01-Jun-1977,371
01-Jul-1977,360
01-Aug-1977,254
01-Sep-1977,158
01-Oct-1977,109
01-Nov-1977,59
01-Dec-1977,8
01-Jan-1978,11
01-Feb-1978,64
01-Mar-1978,139
01-Apr-1978,234
01-May-1978,362
01-Jun-1978,436
01-Jul-1978,452
01-Aug-1978,331
01-Sep-1978,205
01-Oct-1978,127
01-Nov-1978,66
01-Dec-1978,9
01-Jan-1979,13
01-Feb-1979,77
01-Mar-1979,158
01-Apr-1979,238
01-May-1979,359
01-Jun-1979,424
01-Jul-1979,406
01-Aug-1979,280
01-Sep-1979,143
01-Oct-1979,59
01-Nov-1979,38
01-Dec-1979,6
01-Jan-1980,11
01-Feb-1980,72
01-Mar-1980,147
01-Apr-1980,206
01-May-1980,337
01-Jun-1980,434
01-Jul-1980,469
01-Aug-1980,347
01-Sep-1980,209
01-Oct-1980,127
01-Nov-1980,66
01-Dec-1980,9
01-Jan-1981,13
01-Feb-1981,73
01-Mar-1981,155
01-Apr-1981,245
01-May-1981,374
01-Jun-1981,430
01-Jul-1981,403
01-Aug-1981,265
01-Sep-1981,153
01-Oct-1981,99
01-Nov-1981,57
01-Dec-1981,8
01-Jan-1982,12
01-Feb-1982,69
01-Mar-1982,146
01-Apr-1982,144
01-May-1982,296
01-Jun-1982,431
01-Jul-1982,479
01-Aug-1982,380
01-Sep-1982,230
01-Oct-1982,159
01-Nov-1982,74
01-Dec-1982,9
01-Jan-1983,12
01-Feb-1983,69
01-Mar-1983,143
01-Apr-1983,196
01-May-1983,312
01-Jun-1983,439
01-Jul-1983,486
01-Aug-1983,394
01-Sep-1983,255
01-Oct-1983,112
01-Nov-1983,64
01-Dec-1983,7
01-Jan-1984,7
01-Feb-1984,43
01-Mar-1984,109
01-Apr-1984,168
01-May-1984,290
01-Jun-1984,432
01-Jul-1984,487
01-Aug-1984,405
01-Sep-1984,245
01-Oct-1984,120
01-Nov-1984,65
01-Dec-1984,9
01-Jan-1985,12
01-Feb-1985,64
01-Mar-1985,134
01-Apr-1985,218
01-May-1985,369
01-Jun-1985,433
01-Jul-1985,438
01-Aug-1985,321
01-Sep-1985,175
01-Oct-1985,119
01-Nov-1985,68
01-Dec-1985,12
01-Jan-1986,43
01-Feb-1986,71
01-Mar-1986,108
01-Apr-1986,154
01-May-1986,293
01-Jun-1986,413
01-Jul-1986,482
01-Aug-1986,382
01-Sep-1986,248
01-Oct-1986,152
01-Nov-1986,78
01-Dec-1986,10
01-Jan-1987,13
01-Feb-1987,77
01-Mar-1987,160
01-Apr-1987,250
01-May-1987,365
01-Jun-1987,413
01-Jul-1987,407
01-Aug-1987,295
01-Sep-1987,166
01-Oct-1987,91
01-Nov-1987,52
01-Dec-1987,8
01-Jan-1988,12
01-Feb-1988,76
01-Mar-1988,156
01-Apr-1988,246
01-May-1988,372
01-Jun-1988,399
01-Jul-1988,358
01-Aug-1988,221
01-Sep-1988,97
01-Oct-1988,79
01-Nov-1988,52
01-Dec-1988,8
01-Jan-1989,12
01-Feb-1989,68
01-Mar-1989,149
01-Apr-1989,243
01-May-1989,372
01-Jun-1989,408
01-Jul-1989,366
01-Aug-1989,259
01-Sep-1989,155
01-Oct-1989,73
01-Nov-1989,43
01-Dec-1989,6
01-Jan-1990,10
01-Feb-1990,64
01-Mar-1990,147
01-Apr-1990,243
01-May-1990,352
01-Jun-1990,399
01-Jul-1990,408
01-Aug-1990,280
01-Sep-1990,119
01-Oct-1990,73
01-Nov-1990,50
01-Dec-1990,7
01-Jan-1991,10
01-Feb-1991,58
01-Mar-1991,125
01-Apr-1991,207
01-May-1991,332
01-Jun-1991,430
01-Jul-1991,424
01-Aug-1991,288
01-Sep-1991,180
01-Oct-1991,111
01-Nov-1991,62
01-Dec-1991,9
01-Jan-1992,13
01-Feb-1992,80
01-Mar-1992,161
01-Apr-1992,251
01-May-1992,345
01-Jun-1992,369
01-Jul-1992,372
01-Aug-1992,244
01-Sep-1992,104
01-Oct-1992,48
01-Nov-1992,29
01-Dec-1992,4
01-Jan-1993,7
01-Feb-1993,44
01-Mar-1993,105
01-Apr-1993,198
01-May-1993,336
01-Jun-1993,434
01-Jul-1993,466
01-Aug-1993,387
01-Sep-1993,240
01-Oct-1993,137
01-Nov-1993,67
01-Dec-1993,9
01-Jan-1994,13
01-Feb-1994,78
01-Mar-1994,165
01-Apr-1994,252
01-May-1994,374
01-Jun-1994,395
01-Jul-1994,369
01-Aug-1994,243
01-Sep-1994,122
01-Oct-1994,87
01-Nov-1994,54
01-Dec-1994,7
01-Jan-1995,11
01-Feb-1995,63
01-Mar-1995,139
01-Apr-1995,223
01-May-1995,354
01-Jun-1995,426
01-Jul-1995,482
01-Aug-1995,373
01-Sep-1995,234
01-Oct-1995,137
01-Nov-1995,72
01-Dec-1995,10
01-Jan-1996,13
01-Feb-1996,70
01-Mar-1996,115
01-Apr-1996,183
01-May-1996,324
01-Jun-1996,435
01-Jul-1996,444
01-Aug-1996,336
01-Sep-1996,198
01-Oct-1996,125
01-Nov-1996,66
01-Dec-1996,9
01-Jan-1997,12
01-Feb-1997,60
01-Mar-1997,105
01-Apr-1997,159
01-May-1997,284
01-Jun-1997,431
01-Jul-1997,459
01-Aug-1997,381
01-Sep-1997,240
01-Oct-1997,145
01-Nov-1997,75
01-Dec-1997,10
01-Jan-1998,13
01-Feb-1998,76
01-Mar-1998,148
01-Apr-1998,206
01-May-1998,329
01-Jun-1998,436
01-Jul-1998,474
01-Aug-1998,376
01-Sep-1998,231
01-Oct-1998,148
01-Nov-1998,76
01-Dec-1998,10
01-Jan-1999,13
01-Feb-1999,74
01-Mar-1999,147
01-Apr-1999,228
01-May-1999,340
01-Jun-1999,422
01-Jul-1999,448
01-Aug-1999,343
01-Sep-1999,209
01-Oct-1999,117
01-Nov-1999,62
01-Dec-1999,9
01-Jan-2000,12
01-Feb-2000,76
01-Mar-2000,145
01-Apr-2000,222
01-May-2000,343
01-Jun-2000,387
01-Jul-2000,360
01-Aug-2000,219
01-Sep-2000,113
01-Oct-2000,69
01-Nov-2000,44
01-Dec-2000,6
01-Jan-2001,10
01-Feb-2001,60
01-Mar-2001,130
01-Apr-2001,218
01-May-2001,341
01-Jun-2001,388
01-Jul-2001,402
01-Aug-2001,303
01-Sep-2001,184
01-Oct-2001,101
01-Nov-2001,51
01-Dec-2001,7
01-Jan-2002,10
01-Feb-2002,58
01-Mar-2002,125
01-Apr-2002,212
01-May-2002,324
01-Jun-2002,377
01-Jul-2002,367
01-Aug-2002,258
01-Sep-2002,162
01-Oct-2002,99
01-Nov-2002,49
01-Dec-2002,7
01-Jan-2003,9
01-Feb-2003,55
01-Mar-2003,122
01-Apr-2003,201
01-May-2003,317
01-Jun-2003,363
01-Jul-2003,359
01-Aug-2003,242
01-Sep-2003,119
01-Oct-2003,63
01-Nov-2003,43
01-Dec-2003,7
01-Jan-2004,10
01-Feb-2004,63
01-Mar-2004,133
01-Apr-2004,219
01-May-2004,334
01-Jun-2004,377
01-Jul-2004,385
01-Aug-2004,279
01-Sep-2004,172
01-Oct-2004,86
01-Nov-2004,47
01-Dec-2004,7
01-Jan-2005,11
01-Feb-2005,64
01-Mar-2005,143
01-Apr-2005,235
01-May-2005,357
01-Jun-2005,437
01-Jul-2005,455
01-Aug-2005,323
01-Sep-2005,177
01-Oct-2005,101
01-Nov-2005,57
01-Dec-2005,8
01-Jan-2006,12
01-Feb-2006,70
01-Mar-2006,144
01-Apr-2006,223
01-May-2006,353
01-Jun-2006,436
01-Jul-2006,431
01-Aug-2006,308
01-Sep-2006,176
01-Oct-2006,111
01-Nov-2006,63
01-Dec-2006,8
01-Jan-2007,12
01-Feb-2007,68
01-Mar-2007,149
01-Apr-2007,245
01-May-2007,366
01-Jun-2007,395
01-Jul-2007,375
01-Aug-2007,266
01-Sep-2007,144
01-Oct-2007,84
01-Nov-2007,47
01-Dec-2007,7
01-Jan-2008,10
01-Feb-2008,64
01-Mar-2008,137
01-Apr-2008,226
01-May-2008,359
01-Jun-2008,439
01-Jul-2008,449
01-Aug-2008,314
01-Sep-2008,178
01-Oct-2008,102
01-Nov-2008,54
01-Dec-2008,7
01-Jan-2009,11
01-Feb-2009,68
01-Mar-2009,148
01-Apr-2009,244
01-May-2009,373
01-Jun-2009,439
01-Jul-2009,458
01-Aug-2009,337
01-Sep-2009,196
01-Oct-2009,117
01-Nov-2009,62
01-Dec-2009,8
01-Jan-2010,12
01-Feb-2010,72
01-Mar-2010,155
01-Apr-2010,247
01-May-2010,377
01-Jun-2010,435
01-Jul-2010,433
01-Aug-2010,305
01-Sep-2010,183
01-Oct-2010,109
01-Nov-2010,57
01-Dec-2010,8
01-Jan-2011,13
01-Feb-2011,74
01-Mar-2011,141
01-Apr-2011,175
01-May-2011,275
01-Jun-2011,409
01-Jul-2011,484
01-Aug-2011,396
01-Sep-2011,240
01-Oct-2011,137
01-Nov-2011,70
01-Dec-2011,9
01-Jan-2012,12
01-Feb-2012,75
01-Mar-2012,158
01-Apr-2012,248
01-May-2012,357
01-Jun-2012,353
01-Jul-2012,275
01-Aug-2012,148
01-Sep-2012,73
01-Oct-2012,52
01-Nov-2012,32
01-Dec-2012,5
01-Jan-2013,8
01-Feb-2013,45
01-Mar-2013,102
01-Apr-2013,169
01-May-2013,257
01-Jun-2013,286
01-Jul-2013,275
01-Aug-2013,181
01-Sep-2013,106
01-Oct-2013,68
01-Nov-2013,37
01-Dec-2013,5
01-Jan-2014,8
01-Feb-2014,49
01-Mar-2014,108
01-Apr-2014,187
01-May-2014,308
01-Jun-2014,340
01-Jul-2014,309
01-Aug-2014,229
01-Sep-2014,128
01-Oct-2014,78
01-Nov-2014,44
01-Dec-2014,6
01-Jan-2015,9
01-Feb-2015,53
01-Mar-2015,117
01-Apr-2015,198
01-May-2015,324
01-Jun-2015,402
01-Jul-2015,403
01-Aug-2015,301
01-Sep-2015,174
01-Oct-2015,98
01-Nov-2015,47
01-Dec-2015,6
01-Jan-2016,9
01-Feb-2016,56
01-Mar-2016,119
01-Apr-2016,202
01-May-2016,338
01-Jun-2016,403
01-Jul-2016,391
01-Aug-2016,259
01-Sep-2016,134
01-Oct-2016,89
01-Nov-2016,46
01-Dec-2016,6
01-Jan-2017,9
01-Feb-2017,57
01-Mar-2017,110
01-Apr-2017,201
01-May-2017,348
01-Jun-2017,438
01-Jul-2017,451
01-Aug-2017,326
01-Sep-2017,177
01-Oct-2017,109
01-Nov-2017,58
01-Dec-2017,8
01-Jan-2018,12
01-Feb-2018,71
01-Mar-2018,156
01-Apr-2018,253
01-May-2018,372
01-Jun-2018,226
